Date,Description,Merchant,Amount (INR),Original Category,New Category,Is Recurring
2026-04-05,"fish","",200,"Food & Dining","fish",No
2026-04-05,"Karnataka trip","",6000,"Travel","other",No
2026-04-06,"LIC for father","LIC",1495,"Family","recurring(bills)",No
2026-04-07,"real juice","",148,"Food & Dining","other",No
2026-04-08,"omni petrol","Omni Petrol",800,"Transport","fuel",No
2026-04-08,"Activa belt repair","",780,"Transport","other",No
2026-04-08,"groceries vagon","vagon",218,"Groceries","other",No
2026-04-08,"pleasure petrol","",120,"Transport","fuel",No
2026-04-12,"Money given to father","",500,"Family","other",No
2026-04-12,"banana","",140,"Food & Dining","other",No
2026-04-12,"Activa petrol","",160,"Transport","fuel",No
2026-04-12,"fish","",500,"Food & Dining","fish",No
2026-04-12,"oranges","",100,"Groceries","other",No
2026-04-12,"corn","",100,"Food & Dining","other",No
2026-04-12,"coke and other snacks","",240,"Food & Dining","other",No
2026-04-12,"petrol xtrem","",180,"Transport","fuel",No
2026-04-12,"cold drinks","",90,"Food & Dining","other",No
2026-04-12,"shev puri","",100,"Food & Dining","other",No
2026-04-12,"samosa","",60,"Food & Dining","other",No
2026-04-13,"LIC self","",1980,"Insurance","recurring(bills)",Yes
2026-04-13,"electricity home bill","",317,"Bills & Utilities","recurring(bills)",Yes
2026-04-14,"paid to father","",500,"Family","other",No
2026-04-14,"dandeli trip","",1500,"Travel","other",No
2026-04-14,"dew and chakri","",110,"Food & Dining","other",No
2026-04-15,"petrol omni","",500,"Transport","fuel",No
2026-04-15,"water bill","",173,"Bills & Utilities","recurring(bills)",No
2026-04-17,"mom recharge","",189,"Family","recurring(bills)",No
2026-04-17,"fish","",100,"Food & Dining","fish",No
2026-04-19,"fish","",250,"Food & Dining","fish",No
2026-04-19,"Activa petrol","",160,"Transport","fuel",No
2026-04-19,"Parvati grocery","Parvati",2619,"Groceries","other",No
2026-04-19,"wedding shopping","",3106,"Shopping","other",No
2026-04-19,"vada paav","",104,"Food & Dining","other",No
2026-04-19,"cold drinks","",180,"Food & Dining","other",No
2026-04-19,"petrol activa","",160,"Transport","fuel",No
2026-04-19,"money given to mom","",500,"Family","other",No
2026-04-19,"belt","",170,"Shopping","other",No
2026-04-20,"omni petrol","Omni Petrol",800,"Transport","fuel",No
2026-04-20,"cat food","",200,"Others","other",No
2026-04-22,"petrol for alto","",600,"Transport","fuel",No
2026-04-22,"Vaibhav wedding","",1000,"Gifts & Donations","other",No
2026-04-22,"money for mom","",1000,"Family","other",No
2026-04-22,"biscuits","",150,"Groceries","other",No
2026-04-22,"Activa petrol","",160,"Transport","fuel",No
2026-04-22,"milk","",35,"Groceries","milk",No
2026-04-22,"rice","",1280,"Groceries","other",No
2026-04-23,"Bicholim restaurant","Bicholim restaurant",434,"Food & Dining","other",No
2026-04-26,"fish","",1000,"Food & Dining","fish",No
2026-04-26,"Karwar juice","",335,"Food & Dining","other",No
2026-04-26,"restaurant","",760,"Food & Dining","other",No
2026-04-26,"museum ticket","",250,"Entertainment","other",No
2026-04-26,"hotel","hotel",70,"Travel","other",No
2026-05-02,"dandeli trip","",820,"Travel","other",No
2026-05-02,"omni tyres","",6200,"Transport","other",No
2026-05-03,"ram wedding","",1000,"Other","other",No
2026-05-03,"car petrol","didi",900,"Transport","fuel",No
2026-05-07,"money for mom","",2000,"Family","other",No
2026-05-07,"lip balm","",669,"Personal Care","other",No
2026-05-08,"Chandresh wedding gift","",2400,"Gifts & Donations","other",No
2026-05-09,"urrak","",200,"Other","other",No
